,marital,mntlhlth,degree,satfin,neisafe,relpersn,race_is_white,race_is_black,race_is_other
2867,0,20.0,2.0,3.0,1.0,1.0,True,False,False
2869,1,3.0,3.0,2.0,1.0,3.0,True,False,False
2870,1,1.0,3.0,1.0,1.0,3.0,True,False,False
2873,0,0.0,1.0,2.0,3.0,2.0,False,True,False
2874,0,1.0,1.0,2.0,2.0,2.0,True,False,False
2875,0,10.0,0.0,3.0,4.0,2.0,True,False,False
2876,1,10.0,1.0,1.0,2.0,3.0,True,False,False
2877,0,0.0,4.0,2.0,2.0,3.0,True,False,False
2878,0,0.0,1.0,3.0,2.0,2.0,False,False,True
2880,1,0.0,3.0,2.0,2.0,2.0,False,True,False
2882,0,0.0,1.0,2.0,1.0,1.0,True,False,False
2885,0,0.0,4.0,2.0,2.0,3.0,True,False,False
2886,0,9.0,4.0,2.0,1.0,2.0,True,False,False
2887,1,0.0,1.0,2.0,1.0,2.0,True,False,False
2889,1,0.0,2.0,3.0,1.0,2.0,True,False,False
2890,0,5.0,1.0,2.0,1.0,2.0,True,False,False
2891,1,1.0,3.0,2.0,1.0,2.0,True,False,False
2893,0,5.0,1.0,2.0,1.0,2.0,True,False,False
2896,0,0.0,1.0,1.0,1.0,3.0,True,False,False
2900,0,10.0,3.0,1.0,1.0,4.0,True,False,False
2901,0,0.0,0.0,2.0,1.0,2.0,True,False,False
2902,1,1.0,4.0,1.0,1.0,1.0,True,False,False
2903,0,0.0,4.0,2.0,1.0,2.0,True,False,False
2904,0,0.0,4.0,3.0,1.0,4.0,True,False,False
2905,1,0.0,4.0,2.0,1.0,2.0,True,False,False
2907,0,7.0,1.0,3.0,1.0,3.0,True,False,False
2908,0,10.0,1.0,2.0,1.0,2.0,True,False,False
2912,0,15.0,1.0,2.0,1.0,3.0,True,False,False
2913,1,0.0,4.0,3.0,1.0,2.0,True,False,False
2917,0,0.0,1.0,2.0,1.0,2.0,True,False,False
2918,0,1.0,1.0,2.0,1.0,2.0,True,False,False
2919,0,11.0,4.0,3.0,1.0,1.0,True,False,False
2921,1,0.0,3.0,1.0,1.0,4.0,True,False,False
2922,0,0.0,3.0,1.0,1.0,3.0,True,False,False
2925,0,0.0,0.0,2.0,2.0,1.0,True,False,False
2926,0,5.0,1.0,3.0,3.0,4.0,False,True,False
2928,1,0.0,0.0,3.0,3.0,3.0,False,True,False
2929,0,0.0,3.0,2.0,1.0,1.0,False,True,False
2933,1,0.0,1.0,2.0,1.0,3.0,True,False,False
2935,0,0.0,4.0,2.0,2.0,1.0,False,True,False
2938,1,0.0,2.0,2.0,1.0,2.0,False,True,False
2940,1,0.0,4.0,1.0,1.0,4.0,True,False,False
2941,0,5.0,1.0,3.0,1.0,4.0,True,False,False
2942,0,0.0,2.0,2.0,1.0,2.0,False,True,False
2943,1,5.0,3.0,1.0,1.0,2.0,True,False,False
2948,1,3.0,1.0,3.0,2.0,4.0,False,True,False
2949,0,3.0,1.0,2.0,2.0,3.0,False,False,True
2950,1,0.0,1.0,2.0,3.0,2.0,True,False,False
2951,0,0.0,1.0,2.0,1.0,3.0,True,False,False
2952,0,0.0,3.0,2.0,1.0,4.0,False,True,False
2953,0,0.0,1.0,3.0,1.0,4.0,False,False,True
2954,1,0.0,1.0,2.0,1.0,4.0,True,False,False
2955,1,5.0,4.0,1.0,1.0,3.0,True,False,False
2956,0,1.0,4.0,3.0,1.0,2.0,False,False,True
2957,0,1.0,4.0,2.0,1.0,4.0,True,False,False
2958,1,3.0,4.0,2.0,1.0,1.0,True,False,False
2959,0,1.0,4.0,1.0,2.0,3.0,False,False,True
2961,0,0.0,3.0,2.0,2.0,2.0,False,True,False
2962,0,15.0,1.0,1.0,2.0,3.0,False,True,False
2964,0,0.0,3.0,3.0,2.0,2.0,False,True,False
2967,0,0.0,0.0,3.0,1.0,4.0,False,False,True
2969,1,0.0,4.0,1.0,1.0,4.0,False,False,True
2971,0,0.0,4.0,1.0,1.0,4.0,True,False,False
2972,0,2.0,1.0,2.0,1.0,1.0,True,False,False
2973,0,0.0,1.0,1.0,1.0,4.0,True,False,False
2974,0,0.0,1.0,3.0,1.0,4.0,True,False,False
2975,1,0.0,3.0,2.0,1.0,2.0,True,False,False
2977,0,0.0,2.0,1.0,1.0,3.0,True,False,False
2978,1,0.0,1.0,2.0,1.0,2.0,True,False,False
2981,1,0.0,3.0,1.0,1.0,2.0,True,False,False
2982,1,0.0,3.0,1.0,1.0,4.0,True,False,False
2985,1,1.0,1.0,3.0,1.0,2.0,True,False,False
2986,0,1.0,1.0,2.0,1.0,2.0,True,False,False
2988,1,0.0,1.0,2.0,1.0,2.0,True,False,False
2989,0,3.0,3.0,2.0,1.0,3.0,True,False,False
2990,1,0.0,3.0,2.0,1.0,2.0,True,False,False
2991,0,0.0,3.0,2.0,2.0,3.0,True,False,False
2992,0,2.0,4.0,2.0,1.0,4.0,False,False,True
2993,1,0.0,4.0,2.0,1.0,3.0,True,False,False
2994,0,0.0,3.0,2.0,2.0,2.0,True,False,False
2995,1,0.0,4.0,2.0,1.0,2.0,True,False,False
2996,0,2.0,4.0,2.0,1.0,4.0,True,False,False
2999,1,2.0,3.0,2.0,1.0,4.0,True,False,False
3000,1,3.0,1.0,3.0,1.0,2.0,True,False,False
3001,1,20.0,1.0,2.0,1.0,2.0,True,False,False
3002,0,10.0,1.0,2.0,1.0,2.0,False,False,True
3004,1,3.0,3.0,3.0,1.0,4.0,False,False,True
3005,1,0.0,0.0,2.0,2.0,2.0,True,False,False
3006,0,5.0,1.0,1.0,1.0,4.0,True,False,False
3007,0,0.0,2.0,3.0,2.0,2.0,True,False,False
3008,1,3.0,1.0,3.0,2.0,2.0,True,False,False
3011,0,0.0,1.0,2.0,3.0,2.0,False,False,True
3012,0,3.0,1.0,1.0,3.0,2.0,False,True,False
3014,0,7.0,3.0,2.0,3.0,2.0,False,True,False
3016,0,0.0,4.0,1.0,1.0,4.0,True,False,False
3017,0,0.0,4.0,2.0,2.0,2.0,False,True,False
3020,0,0.0,3.0,1.0,2.0,4.0,False,False,True
3021,0,0.0,0.0,2.0,2.0,2.0,False,False,True
3022,1,2.0,0.0,2.0,3.0,4.0,False,False,True
3023,0,0.0,1.0,3.0,3.0,2.0,True,False,False
3024,0,0.0,1.0,3.0,3.0,2.0,False,False,True
3025,1,0.0,0.0,2.0,3.0,2.0,False,False,True
3026,0,15.0,0.0,2.0,3.0,2.0,True,False,False
3029,1,8.0,1.0,2.0,2.0,3.0,False,False,True
3033,0,15.0,0.0,2.0,2.0,2.0,True,False,False
3035,0,0.0,2.0,3.0,2.0,4.0,True,False,False
3036,1,0.0,1.0,3.0,1.0,3.0,True,False,False
3037,0,7.0,1.0,3.0,2.0,4.0,True,False,False
3038,1,0.0,1.0,3.0,2.0,2.0,False,False,True
3039,0,0.0,1.0,3.0,1.0,4.0,True,False,False
3041,1,0.0,4.0,1.0,1.0,4.0,True,False,False
3043,1,1.0,4.0,1.0,1.0,4.0,True,False,False
3044,0,1.0,1.0,2.0,1.0,2.0,True,False,False
3045,0,1.0,3.0,1.0,1.0,4.0,False,False,True
3049,0,0.0,4.0,3.0,1.0,4.0,True,False,False
3050,0,2.0,4.0,1.0,1.0,2.0,True,False,False
3051,0,3.0,3.0,2.0,1.0,4.0,False,False,True
3054,1,0.0,3.0,3.0,2.0,3.0,False,False,True
3056,0,0.0,1.0,1.0,2.0,4.0,False,False,True
3057,0,1.0,1.0,1.0,2.0,2.0,False,False,True
3060,1,10.0,3.0,2.0,1.0,2.0,False,False,True
3062,0,3.0,3.0,1.0,1.0,1.0,True,False,False
3063,0,1.0,0.0,2.0,2.0,3.0,False,False,True
3064,1,0.0,1.0,2.0,2.0,2.0,True,False,False
3065,1,0.0,3.0,2.0,1.0,3.0,True,False,False
3066,1,0.0,1.0,1.0,1.0,4.0,True,False,False
3067,0,14.0,3.0,2.0,1.0,3.0,False,False,True
3073,1,14.0,1.0,2.0,1.0,4.0,True,False,False
3075,1,20.0,4.0,3.0,1.0,4.0,True,False,False
3078,1,0.0,1.0,2.0,1.0,3.0,True,False,False
3082,1,0.0,2.0,2.0,2.0,2.0,True,False,False
3084,1,0.0,0.0,2.0,2.0,4.0,True,False,False
3086,1,3.0,1.0,1.0,2.0,2.0,True,False,False
3087,1,10.0,4.0,2.0,1.0,2.0,True,False,False
3088,1,5.0,3.0,2.0,1.0,4.0,True,False,False
3089,1,0.0,1.0,2.0,2.0,2.0,True,False,False
3090,0,0.0,1.0,1.0,1.0,2.0,False,True,False
3091,0,0.0,3.0,2.0,1.0,3.0,False,False,True
3092,0,15.0,1.0,1.0,2.0,3.0,True,False,False
3094,0,6.0,3.0,2.0,2.0,3.0,True,False,False
3096,0,0.0,1.0,1.0,2.0,3.0,True,False,False
3097,0,0.0,1.0,2.0,2.0,4.0,False,False,True
3098,0,6.0,3.0,2.0,1.0,2.0,True,False,False
3099,1,0.0,3.0,1.0,1.0,1.0,False,True,False
3101,1,5.0,1.0,2.0,1.0,4.0,True,False,False
3102,1,2.0,3.0,1.0,1.0,4.0,True,False,False
3103,0,0.0,0.0,1.0,1.0,1.0,True,False,False
3105,1,0.0,4.0,2.0,1.0,2.0,True,False,False
